epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1850.07,1.29684,2.64769,1.31573,0.54236,0.52875,0.58977,0.37009,1.35623,2.50968,1.27412,0.0033208,0.0033208,0.0033208
2,3603.41,1.10135,1.51907,1.17091,0.50515,0.52558,0.56348,0.35418,1.14523,1.7293,1.21323,0.00662778,0.00662778,0.00662778
3,5387.62,1.1367,1.24287,1.19831,0.52348,0.52457,0.57672,0.40214,1.0777,1.35236,1.16668,0.00990837,0.00990837,0.00990837
4,9254.39,1.14729,1.09142,1.22481,0.55466,0.52231,0.56921,0.39568,1.12144,1.1835,1.21647,0.0098812,0.0098812,0.0098812
5,15640.8,1.10349,0.97275,1.20303,0.59778,0.55803,0.61593,0.46181,0.96806,0.93967,1.11104,0.0098416,0.0098416,0.0098416
6,17392.7,1.0776,0.908,1.19697,0.59668,0.58415,0.636,0.46871,0.97078,0.86434,1.0927,0.009802,0.009802,0.009802
7,19130.9,1.0326,0.84903,1.17927,0.58887,0.61277,0.63809,0.48035,0.95691,0.70031,1.12673,0.0097624,0.0097624,0.0097624
8,20866.1,1.00417,0.80479,1.16495,0.61616,0.58565,0.63426,0.4925,0.86693,0.70139,1.10583,0.0097228,0.0097228,0.0097228
9,22607.7,0.99511,0.76507,1.16094,0.62025,0.55708,0.61933,0.48469,0.89235,0.76903,1.08825,0.0096832,0.0096832,0.0096832
10,24342.9,0.97245,0.74008,1.15295,0.62739,0.61467,0.64374,0.51224,0.84056,0.58127,1.06122,0.0096436,0.0096436,0.0096436
11,26079.2,0.94224,0.71831,1.13723,0.55491,0.61616,0.6296,0.49526,0.91158,0.7985,1.1172,0.009604,0.009604,0.009604
12,27810.9,0.93826,0.70947,1.13498,0.59235,0.61648,0.64214,0.50269,0.8693,0.65091,1.08453,0.0095644,0.0095644,0.0095644
13,29554.5,0.91393,0.66223,1.12383,0.62047,0.62,0.64889,0.51544,0.83502,0.5716,1.05452,0.0095248,0.0095248,0.0095248
14,31296.7,0.91282,0.67113,1.12854,0.62375,0.62438,0.65093,0.52762,0.79152,0.54609,1.03383,0.0094852,0.0094852,0.0094852
15,33031,0.89431,0.65504,1.11554,0.61646,0.62025,0.64532,0.52306,0.7877,0.55109,1.06013,0.0094456,0.0094456,0.0094456
16,34761.2,0.8849,0.64347,1.11789,0.62085,0.63479,0.64993,0.53095,0.79454,0.52349,1.05574,0.009406,0.009406,0.009406
17,36500,0.86916,0.63386,1.10627,0.61254,0.63383,0.64679,0.52623,0.79421,0.53158,1.03403,0.0093664,0.0093664,0.0093664
18,38237.2,0.86374,0.61871,1.10151,0.62268,0.63786,0.65258,0.54093,0.73186,0.50483,1.02453,0.0093268,0.0093268,0.0093268
19,39970.2,0.85726,0.61559,1.0987,0.63053,0.62658,0.65374,0.53201,0.76711,0.49611,1.03552,0.0092872,0.0092872,0.0092872
20,41700.8,0.85702,0.60451,1.10509,0.62658,0.64286,0.65487,0.54264,0.73842,0.46971,1.03733,0.0092476,0.0092476,0.0092476
21,43449.6,0.82948,0.59184,1.08508,0.62756,0.64279,0.65369,0.53707,0.73966,0.46654,1.03285,0.009208,0.009208,0.009208
22,45179.3,0.837,0.5887,1.09175,0.62696,0.64581,0.65531,0.54323,0.73685,0.44018,1.03814,0.0091684,0.0091684,0.0091684
23,46926.9,0.81748,0.57244,1.08419,0.62852,0.6513,0.65503,0.54025,0.74719,0.42781,1.04045,0.0091288,0.0091288,0.0091288
24,48655.4,0.81695,0.56609,1.09185,0.63479,0.64127,0.6529,0.54414,0.70667,0.43701,1.0355,0.0090892,0.0090892,0.0090892
25,50389.2,0.81509,0.56224,1.08471,0.63494,0.6395,0.65153,0.53567,0.76082,0.45303,1.06083,0.0090496,0.0090496,0.0090496
26,52167.6,0.81418,0.56865,1.08835,0.63784,0.6333,0.65516,0.54699,0.72191,0.455,1.04239,0.00901,0.00901,0.00901
